product_id,brand,product_name,fit_type,rise_type,price,mrp,discount_percent,rating,review_count
JN22962,SHOWOFFFF,Straight Fit Low-Rise Cargo,Straight Fit,Low-Rise,2519.0,6298.0,60.0,4.2,42.0
JN22963,SHOWOFFFF,Men Slim Fit Low-Rise Jeans,Slim Fit,Low-Rise,1519.0,3798.0,60.01,4.2,42.0
JN22965,SHOWOFFFF,Men Relaxed Fit Low-Rise Jeans,Relaxed Fit,Low-Rise,2119.0,5298.0,60.0,4.2,42.0
JN22966,SHOWOFFFF,Men Slim Fit Low-Rise Jeans,Slim Fit,Low-Rise,1639.0,4098.0,60.0,4.2,42.0
JN22968,Trendyol,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,2149.0,4299.0,50.01,4.0,63.0
JN22969,Trendyol,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,1889.0,4199.0,55.01,4.0,63.0
JN22972,Trendyol,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,2249.0,4499.0,50.01,4.0,63.0
JN22974,Trendyol,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,1899.0,3799.0,50.01,4.3,264.0
JN22975,HERE&NOW,Men Fit Mid-Rise Jeans,Other/Unspecified,Mid-Rise,1590.0,3699.0,57.02,4.3,264.0
JN22976,United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,Regular Fit,Mid-Rise,1590.0,3699.0,57.02,4.3,264.0
JN22977,SZN,Men Tapered Fit Mid-Rise Jeans,Tapered Fit,Mid-Rise,376.0,1299.0,71.05,4.3,264.0
JN22978,U.S. Polo Assn. Denim Co.,Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,2999.0,3999.0,25.01,4.3,264.0
JN22980,U.S. Polo Assn. Denim Co.,Men Tapered Fit Mid-Rise Jeans,Tapered Fit,Mid-Rise,2624.0,3499.0,25.01,4.3,264.0
JN22983,U.S. Polo Assn. Denim Co.,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,2999.0,3999.0,25.01,4.2,130.0
JN22984,U.S. Polo Assn. Denim Co.,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,2474.0,3299.0,25.01,4.2,130.0
